TIME, X, Y, Z
685350.36430, 0.120, 0.105, 9.739
685350.38469, 0.330, 0.311, 9.030
685350.40423, 0.120, 0.378, 8.604
685350.42724, 0.091, 0.435, 9.073
685350.44394, 0.043, 0.454, 8.638
685350.46420, -0.144, 0.459, 8.144
685350.48439, -0.034, 0.521, 7.397
685350.50414, -0.086, 0.761, 6.488
685350.52444, -0.129, 0.842, 6.550
685350.54374, -0.321, 0.775, 6.809
685350.56388, -0.062, 0.713, 7.273
685350.58388, 0.048, 0.598, 7.771
685350.60418, -0.115, 0.718, 7.216
685350.62393, -0.249, 0.732, 7.105
685350.64413, -0.081, 0.909, 7.809
685350.66365, 0.043, 0.732, 8.360
685350.68396, 0.283, 0.761, 8.997
685350.70366, 0.086, 0.742, 9.753
685350.72711, 0.048, 0.699, 10.362
685350.74326, 0.206, 0.995, 10.912
685350.76360, 0.350, 1.153, 11.391
685350.78323, 0.144, 0.842, 11.707
685350.80305, 0.144, 0.512, 11.736
685350.82334, 0.057, 0.569, 11.559
685350.84298, 0.225, 0.564, 11.324
685350.86300, 0.436, 0.014, 11.779
685350.88324, 0.383, -0.637, 12.497
685350.90287, 0.225, -0.810, 13.565
685350.92380, -0.335, -0.604, 12.215
685350.94298, -0.924, -0.211, 10.084
685350.96312, -1.211, -0.331, 8.753
685350.98295, -1.020, -0.178, 8.609
685351.00279, -0.862, 0.248, 8.973
685351.02390, -0.599, 0.450, 8.729
685351.04287, -0.460, 0.349, 7.766
685351.06300, -0.244, 0.124, 7.910
685351.08271, 0.110, 0.215, 8.441
685351.10265, 0.263, 0.545, 8.240
685351.12356, 0.134, 0.651, 7.479
685351.14235, -0.182, 0.469, 6.928
685351.16275, -0.484, 0.349, 7.163
685351.18268, -0.345, 0.631, 7.852
685351.20259, -0.144, 0.933, 7.517
685351.22347, -0.373, 0.718, 6.899
685351.24246, -0.302, 0.995, 6.392
685351.26235, -0.326, 0.995, 7.211
685351.28228, -0.474, 0.852, 8.437
685351.30231, -0.292, 1.038, 9.638
685351.32337, 0.019, 1.163, 9.026
685351.34211, -0.239, 0.880, 8.935
685351.36253, -0.187, 1.067, 9.887
685351.38214, -0.287, 0.914, 11.539
685351.40174, -0.101, 1.072, 11.267
685351.42199, -0.249, 1.331, 10.457
685351.44199, -0.187, 1.369, 11.444
685351.46190, -0.196, 0.895, 12.138
685351.48176, -0.287, 0.631, 11.578
685351.50165, 0.220, 1.187, 11.022
685351.52251, 0.302, 0.780, 11.286
685351.54194, 0.062, -0.058, 12.933
685351.56147, 0.297, -0.585, 14.140
685351.58170, 0.259, -0.532, 12.665
685351.60235, 0.005, 0.038, 10.022
685351.62239, -0.038, 0.282, 8.839
685351.64152, -0.129, 0.368, 8.887
685351.66173, 0.014, 0.359, 9.385
685351.68128, 0.129, 0.047, 9.208
685351.70134, 0.230, 0.344, 8.274
685351.72134, 0.163, 0.330, 7.685
685351.74116, 0.230, 0.301, 7.656
685351.76123, 0.402, 0.234, 7.790
685351.78138, 0.560, 0.301, 7.943
685351.80104, 0.527, 0.603, 7.378
685351.82215, 0.350, 0.430, 6.339
685351.84103, 0.077, 0.411, 5.875
685351.86107, 0.067, 0.809, 6.224
685351.88094, 0.163, 0.943, 6.746
685351.90128, 0.115, 0.895, 7.589
685351.92196, 0.029, 0.938, 7.196
685351.94097, 0.000, 0.890, 7.623
685351.96138, 0.254, 0.785, 8.700
685351.98082, 0.278, 0.713, 9.883
685352.00095, 0.345, 0.761, 10.285
